group,names,scores,logfoldchanges,pvals,pvals_adj
Naive CD4+ T cells,CHI3L2,-5.0361705,,5.455564682019157e-07,3.2242211850646977e-06
Naive CD4+ T cells,HENMT1,-5.041486,,5.333259426187923e-07,3.162106717849485e-06
Naive CD4+ T cells,ACD,-5.0456924,,5.212773814400255e-07,3.1006725795688245e-06
Naive CD4+ T cells,NUDCD1,-5.0682178,,4.3965250825852816e-07,2.6936043672639158e-06
Naive CD4+ T cells,ARL2BP,-5.0690413,,4.973377685321671e-07,2.9678792810458542e-06
Naive CD4+ T cells,TIMM22,-5.073185,,4.624932950680241e-07,2.805487380643658e-06
Naive CD4+ T cells,EXOSC8,-5.0754776,,4.752770372858585e-07,2.8641285066603538e-06
Naive CD4+ T cells,ELP6,-5.079323,,4.4354630445180897e-07,2.708432251104402e-06
Naive CD4+ T cells,AHSA1,-5.08709,,4.6079557467669423e-07,2.804444590250874e-06
Naive CD4+ T cells,CCL4,-5.093613,,4.231830404267481e-07,2.6013726699142578e-06
Naive CD4+ T cells,DEXI,-5.1253567,,3.504073336584603e-07,2.1685140715968016e-06
Naive CD4+ T cells,YTHDF2,-5.1619425,,3.0580564273269084e-07,1.898887741022587e-06
Naive CD4+ T cells,XPOT,-5.1942825,,2.3498605596307373e-07,1.4740763510584625e-06
Naive CD4+ T cells,SF3B1,-5.19932,,2.54608421287958e-07,1.5863399265331074e-06
Naive CD4+ T cells,CASC7,-5.2022347,,2.1466009077649623e-07,1.3511823522164385e-06
Naive CD4+ T cells,CD82,-5.273627,,1.6376210332418596e-07,1.0415043111067604e-06
Naive CD4+ T cells,RPL22L1,-5.276224,,1.7317633189623135e-07,1.0938078969940659e-06
Naive CD4+ T cells,DPY30,-5.292599,,1.5641086781603612e-07,9.982054689092862e-07
Naive CD4+ T cells,CCDC66,-5.3247075,,1.1927835816198115e-07,7.692407800060399e-07
Naive CD4+ T cells,MZB1,-5.349203,,9.963901153150252e-08,6.517313280957353e-07
Naive CD4+ T cells,PCSK7,-5.3632393,,1.0701167278332315e-07,6.950086734125369e-07
Naive CD4+ T cells,HDAC1,-5.370045,,1.0313835723662271e-07,6.722280163152926e-07
Naive CD4+ T cells,GTF3A,-5.3719487,,1.0927580149798197e-07,7.072145181453903e-07
Naive CD4+ T cells,IL23A,-5.3861437,,8.62653479587873e-08,5.683000342231221e-07
Naive CD4+ T cells,CEP68,-5.4037256,,7.453857169266972e-08,4.963836767069818e-07
Naive CD4+ T cells,ADAM28,-5.4169297,,6.968023153832998e-08,4.657173293361837e-07
Naive CD4+ T cells,CCDC91,-5.4483724,,6.567303961666625e-08,4.4215035463528407e-07
Naive CD4+ T cells,REXO2,-5.466666,,5.965358460098491e-08,4.031003253551848e-07
Naive CD4+ T cells,TMEM87A,-5.4788103,,5.3613551323801656e-08,3.649692864190646e-07
Naive CD4+ T cells,RP11-421L21.3,-5.4922123,,4.381024345073052e-08,3.0045980396433844e-07
Naive CD4+ T cells,ATAD1,-5.516234,,4.183925011025512e-08,2.8801701012228055e-07
Naive CD4+ T cells,LRBA,-5.523579,,4.129473517286214e-08,2.8533730544255873e-07
Naive CD4+ T cells,PLEKHA1,-5.5240345,,4.073001921508515e-08,2.824972653484019e-07
Naive CD4+ T cells,ZNF92,-5.5374823,,3.725295284928381e-08,2.5935957324615016e-07
Naive CD4+ T cells,RASGRP2,-5.609205,,2.8756431411188873e-08,2.0350720629236325e-07
Naive CD4+ T cells,SNRPB,-5.6101685,,2.940424789591487e-08,2.0706899476127024e-07
Naive CD4+ T cells,FN3KRP,-5.6478453,,2.031980017148877e-08,1.4532215064278741e-07
Naive CD4+ T cells,RP11-18H21.1,-5.6482167,,1.950327390172954e-08,1.400274118413238e-07
Naive CD4+ T cells,CDC123,-5.6579447,,2.1130093997588363e-08,1.505314448355326e-07
Naive CD4+ T cells,JAKMIP1,-5.659092,,1.719713683128934e-08,1.244422736059441e-07
Naive CD4+ T cells,TRIT1,-5.687004,,1.4644876547468006e-08,1.0724017169022388e-07
Naive CD4+ T cells,MRPL1,-5.7007837,,1.4840058162393153e-08,1.0823820199396276e-07
Naive CD4+ T cells,URGCP,-5.7114644,,1.270037942068324e-08,9.374818222978232e-08
Naive CD4+ T cells,FUS,-5.71813,,1.5830678792778784e-08,1.1500706569615574e-07
Naive CD4+ T cells,TTC3,-5.7374244,,1.32435858672596e-08,9.736684329609258e-08
Naive CD4+ T cells,C14orf1,-5.7470455,,1.2332190473318754e-08,9.139744391112851e-08
Naive CD4+ T cells,LSM14A,-5.761234,,1.20985065336607e-08,9.002856278894076e-08
Naive CD4+ T cells,IGJ,-5.7673182,,9.146496221874041e-09,6.861738798287546e-08
Naive CD4+ T cells,TERF2IP,-5.8053703,,9.568110786395429e-09,7.148856758290568e-08
Naive CD4+ T cells,PCNA,-5.8323097,,7.048022128042258e-09,5.330973115778465e-08
Naive CD4+ T cells,NPRL2,-5.836089,,6.806964335688599e-09,5.1699175409072906e-08
Naive CD4+ T cells,PACS1,-5.8576746,,5.933155940884822e-09,4.543808591394293e-08
Naive CD4+ T cells,NUP54,-5.8690186,,5.528953054253089e-09,4.251973101973715e-08
Naive CD4+ T cells,PSMC4,-5.878014,,6.04851948015919e-09,4.612937263291532e-08
Naive CD4+ T cells,IL16,-5.922505,,4.730216882470897e-09,3.652999424361978e-08
Naive CD4+ T cells,TARSL2,-5.943038,,3.4010013880326853e-09,2.6600172558315218e-08
Naive CD4+ T cells,MAGEH1,-5.998668,,2.5677118630599963e-09,2.0255169117185724e-08
Naive CD4+ T cells,CD160,-6.022048,,2.037841159446963e-09,1.6144620909756542e-08
Naive CD4+ T cells,PARP1,-6.145344,,1.1710240577130673e-09,9.481683780073206e-09
Naive CD4+ T cells,NDUFAF4,-6.240144,,6.199334049730908e-10,5.109585642782695e-09
Naive CD4+ T cells,RBM39,-6.2498493,,7.163196801972982e-10,5.877658804476045e-09
Naive CD4+ T cells,PITHD1,-6.282234,,5.370903739895074e-10,4.446721204471688e-09
Naive CD4+ T cells,PRR5,-6.2968664,,4.1479066114396413e-10,3.4653874326482093e-09
Naive CD4+ T cells,PDIA3,-6.3733287,,3.3126943417862185e-10,2.780243013791356e-09
Naive CD4+ T cells,C1GALT1C1,-6.3925843,,1.9476836148529929e-10,1.642129579862294e-09
Naive CD4+ T cells,BLNK,-6.4079676,,1.8776597475433198e-10,1.5903864589790886e-09
Naive CD4+ T cells,CAPN12,-6.4211287,,1.6721698441632011e-10,1.422892672949983e-09
Naive CD4+ T cells,CCND2,-6.480302,,1.3156516981212834e-10,1.1247292191381017e-09
Naive CD4+ T cells,BZRAP1-AS1,-6.5455694,,7.700675274971822e-11,6.707981590236118e-10
Naive CD4+ T cells,EIF1AY,-6.5501976,,9.803582694536492e-11,8.459617367398156e-10
Naive CD4+ T cells,RP11-589C21.6,-6.588842,,5.631026151633923e-11,4.99991597425273e-10
Naive CD4+ T cells,TMBIM6,-6.6378646,,6.93240622581606e-11,6.067506020499962e-10
Naive CD4+ T cells,SNHG8,-6.639651,,6.019846225486744e-11,5.294008307389778e-10
Naive CD4+ T cells,HLA-DQA1,-6.666166,,4.57119158041633e-11,4.0785680217501046e-10
Naive CD4+ T cells,SPIB,-6.6877885,,3.023475771858414e-11,2.7240923866057675e-10
Naive CD4+ T cells,ODC1,-6.7123294,,3.0652821093582224e-11,2.7482870814636157e-10
Naive CD4+ T cells,RP11-291B21.2,-6.7217703,,2.3193702863471654e-11,2.1208968091075073e-10
Naive CD4+ T cells,RBM4,-6.7341495,,2.7510567290757822e-11,2.490858260118861e-10
Naive CD4+ T cells,CCT4,-6.7637577,,2.6118234260219015e-11,2.376500721301116e-10
Naive CD4+ T cells,ATP6V0E2,-6.786136,,1.8961037658358345e-11,1.742519360803132e-10
Naive CD4+ T cells,RP5-1028K7.2,-6.8387003,,1.0312001742577194e-11,9.572454142857012e-11
Naive CD4+ T cells,ACADM,-6.840878,,1.2238129054704288e-11,1.1303357388214313e-10
Naive CD4+ T cells,P2RX5,-6.8771915,,8.825694340269263e-12,8.234328018992339e-11
Naive CD4+ T cells,ZNF32,-6.954169,,5.945330788638941e-12,5.603855379240191e-11
Naive CD4+ T cells,RCN2,-6.9713216,,6.0497746436147136e-12,5.673207038246859e-11
Naive CD4+ T cells,BTN3A2,-7.0059495,,5.274424039214733e-12,4.997108960864268e-11
Naive CD4+ T cells,ICAM2,-7.0331583,,4.583486879909144e-12,4.364999422421247e-11
Naive CD4+ T cells,KLRC1,-7.0540304,,2.317329861347079e-12,2.2776750187999634e-11
Naive CD4+ T cells,COMMD8,-7.067217,,3.0839097238655777e-12,2.9676576295627917e-11
Naive CD4+ T cells,FKBP3,-7.067652,,2.844204048712935e-12,2.7659508156266533e-11
Naive CD4+ T cells,NAP1L4,-7.0867996,,2.7165702838809796e-12,2.6558809477517238e-11
Naive CD4+ T cells,ARL6IP5,-7.106481,,3.0469039396878246e-12,2.9474786532348536e-11
Naive CD4+ T cells,TTC14,-7.1250463,,1.7549591777464256e-12,1.7626311304360274e-11
Naive CD4+ T cells,BOLA3,-7.133848,,1.5101931000097792e-12,1.5251290757241617e-11
Naive CD4+ T cells,ICOS,-7.1552873,,1.1074301181243408e-12,1.1245616337638333e-11
Naive CD4+ T cells,UBE2D2,-7.1711135,,1.9554601112101652e-12,1.9427760456239374e-11
Naive CD4+ T cells,MDS2,-7.252246,,5.647463093960913e-13,5.897748390170544e-12
Naive CD4+ T cells,CD47,-7.303144,,6.965676665489994e-13,7.1824227180081565e-12
Naive CD4+ T cells,CCT7,-7.310499,,6.20387743278644e-13,6.4422184867014e-12
Naive CD4+ T cells,DNAJB14,-7.3227997,,3.5112718811091613e-13,3.68783869570208e-12
Naive CD4+ T cells,THEM4,-7.3756294,,2.643027633916174e-13,2.791887810998809e-12
Naive CD4+ T cells,XXbac-BPG299F13.17,-7.5791445,,7.772710885341159e-14,8.354527840501199e-13
Naive CD4+ T cells,HSP90AA1,-7.5870724,,1.1316024069447298e-13,1.2092355953281472e-12
Naive CD4+ T cells,KLRB1,-7.6353264,,3.620078853470173e-14,3.984254450705496e-13
Naive CD4+ T cells,BUB3,-7.6696815,,4.833423952834149e-14,5.225784250181862e-13
Naive CD4+ T cells,TTC38,-7.729392,,1.659101767873872e-14,1.8481388177891982e-13
Naive CD4+ T cells,SRSF5,-7.744453,,4.289481536567211e-14,4.665128440361263e-13
Naive CD4+ T cells,IGLL5,-7.8322816,,6.892407382128525e-15,7.819904177995203e-14
Naive CD4+ T cells,XCL1,-7.8804708,,4.738110208834875e-15,5.5118016226825954e-14
Naive CD4+ T cells,ATF7IP2,-7.894729,,5.546889143855122e-15,6.371988904003572e-14
Naive CD4+ T cells,CCNG1,-7.945568,,5.434921577276997e-15,6.28263261574536e-14
Naive CD4+ T cells,NOL11,-7.9580507,,2.9557838176935295e-15,3.482519651872248e-14
Naive CD4+ T cells,KIAA0125,-7.9689236,,2.3647649003030363e-15,2.8041534753270844e-14
Naive CD4+ T cells,HLA-DOB,-8.0201645,,1.7007669261430395e-15,2.0298763702927966e-14
Naive CD4+ T cells,GPR56,-8.022367,,1.5596003383085632e-15,1.8735590992229666e-14
